"Year","Ceremony","Award","Winner","Name","Film"
"2015",88,"Actor in a Leading Role",NA,"Bryan Cranston","Trumbo"
"2015",88,"Actor in a Leading Role",NA,"Matt Damon","The Martian"
"2015",88,"Actor in a Leading Role",1,"Leonardo DiCaprio","The Revenant"
"2015",88,"Actor in a Leading Role",NA,"Michael Fassbender","Steve Jobs"
"2015",88,"Actor in a Leading Role",NA,"Eddie Redmayne","The Danish Girl"
"2015",88,"Actor in a Supporting Role",NA,"Christian Bale","The Big Short"
"2015",88,"Actor in a Supporting Role",NA,"Tom Hardy","The Revenant"
"2015",88,"Actor in a Supporting Role",NA,"Mark Ruffalo","Spotlight"
"2015",88,"Actor in a Supporting Role",1,"Mark Rylance","Bridge of Spies"
"2015",88,"Actor in a Supporting Role",NA,"Sylvester Stallone","Creed"
"2015",88,"Actress in a Leading Role",NA,"Cate Blanchett","Carol"
"2015",88,"Actress in a Leading Role",1,"Brie Larson","Room"
"2015",88,"Actress in a Leading Role",NA,"Jennifer Lawrence","Joy"
"2015",88,"Actress in a Leading Role",NA,"Charlotte Rampling","45 Years"
"2015",88,"Actress in a Leading Role",NA,"Saoirse Ronan","Brooklyn"
"2015",88,"Actress in a Supporting Role",NA,"Jennifer Jason Leigh","The Hateful Eight"
"2015",88,"Actress in a Supporting Role",NA,"Rooney Mara","Carol"
"2015",88,"Actress in a Supporting Role",NA,"Rachel McAdams","Spotlight"
"2015",88,"Actress in a Supporting Role",1,"Alicia Vikander","The Danish Girl"
"2015",88,"Actress in a Supporting Role",NA,"Kate Winslet","Steve Jobs"
"2015",88,"Animated Feature Film",NA,"Anomalisa","Charlie Kaufman, Duke Johnson and Rosa Tran"
"2015",88,"Animated Feature Film",NA,"Boy and the World","Alê Abreu"
"2015",88,"Animated Feature Film",1,"Inside Out","Pete Docter and Jonas Rivera"
"2015",88,"Animated Feature Film",NA,"Shaun the Sheep Movie","Mark Burton and Richard Starzak"
"2015",88,"Animated Feature Film",NA,"When Marnie Was There","Hiromasa Yonebayashi and Yoshiaki Nishimura"
"2015",88,"Cinematography",NA,"Carol","Ed Lachman"
"2015",88,"Cinematography",NA,"The Hateful Eight","Robert Richardson"
"2015",88,"Cinematography",NA,"Mad Max: Fury Road","John Seale"
"2015",88,"Cinematography",NA,"The Revenant","Emmanuel Lubezki"
"2015",88,"Cinematography",NA,"Sicario","Roger Deakins"
"2015",88,"Costume Design",NA,"Carol","Sandy Powell"
"2015",88,"Costume Design",NA,"Cinderella","Sandy Powell"
"2015",88,"Costume Design",NA,"The Danish Girl","Paco Delgado"
"2015",88,"Costume Design",1,"Mad Max: Fury Road","Jenny Beavan"
"2015",88,"Costume Design",NA,"The Revenant","Jacqueline West"
"2015",88,"Directing",NA,"The Big Short","Adam McKay"
"2015",88,"Directing",NA,"Mad Max: Fury Road","George Miller"
"2015",88,"Directing",1,"The Revenant","Alejandro G. Iñárritu"
"2015",88,"Directing",NA,"Room","Lenny Abrahamson"
"2015",88,"Directing",NA,"Spotlight","Tom McCarthy"
"2015",88,"Documentary (Feature)",1,"Amy","Asif Kapadia and James Gay-Rees"
"2015",88,"Documentary (Feature)",NA,"Cartel Land","Matthew Heineman and Tom Yellin"
"2015",88,"Documentary (Feature)",NA,"The Look of Silence","Joshua Oppenheimer and Signe Byrge Sørensen"
"2015",88,"Documentary (Feature)",NA,"What Happened, Miss Simone?","Liz Garbus, Amy Hobby and Justin Wilkes"
"2015",88,"Documentary (Feature)",NA,"Winter on Fire: Ukraine's Fight for Freedom","Evgeny Afineevsky and Den Tolmor"
"2015",88,"Documentary (Short Subject)",NA,"Body Team 12","David Darg and Bryn Mooser"
"2015",88,"Documentary (Short Subject)",NA,"Chau, Beyond the Lines","Courtney Marsh and Jerry Franck"
"2015",88,"Documentary (Short Subject)",NA,"Claude Lanzmann: Spectres of the Shoah","Adam Benzine"
"2015",88,"Documentary (Short Subject)",1,"A Girl in the River: The Price of Forgiveness","Sharmeen Obaid-Chinoy"
"2015",88,"Documentary (Short Subject)",NA,"Last Day of Freedom","Dee Hibbert-Jones and Nomi Talisman"
"2015",88,"Film Editing",NA,"The Big Short","Hank Corwin"
"2015",88,"Film Editing",1,"Mad Max: Fury Road","Margaret Sixel"
"2015",88,"Film Editing",NA,"The Revenant","Stephen Mirrione"
"2015",88,"Film Editing",NA,"Spotlight","Tom McArdle"
"2015",88,"Film Editing",NA,"Star Wars: The Force Awakens","Maryann Brandon and Mary Jo Markey"
"2015",88,"Foreign Language Film",NA,"Embrace of the Serpent","Colombia"
"2015",88,"Foreign Language Film",NA,"Mustang","France"
"2015",88,"Foreign Language Film",1,"Son of Saul","Hungary"
"2015",88,"Foreign Language Film",NA,"Theeb","Jordan"
"2015",88,"Foreign Language Film",NA,"A War","Denmark"
"2015",88,"Makeup and Hairstyling",1,"Mad Max: Fury Road","Lesley Vanderwalt, Elka Wardega and Damian Martin"
"2015",88,"Makeup and Hairstyling",NA,"The 100-Year-Old Man Who Climbed Out the Window and Disappeared","Love Larson and Eva von Bahr"
"2015",88,"Makeup and Hairstyling",NA,"The Revenant","Siân Grigg, Duncan Jarman and Robert Pandini"
"2015",88,"Music (Original Score)",NA,"Bridge of Spies","Thomas Newman"
"2015",88,"Music (Original Score)",NA,"Carol","Carter Burwell"
"2015",88,"Music (Original Score)",1,"The Hateful Eight","Ennio Morricone"
"2015",88,"Music (Original Score)",NA,"Sicario","Jóhann Jóhannsson"
"2015",88,"Music (Original Score)",NA,"Star Wars: The Force Awakens","John Williams"
"2015",88,"Music (Original Song)",NA,"""Earned It"" from Fifty Shades of Grey","Music and Lyric by The Weeknd, Ahmad Balshe, Jason Quenneville and Stephan Moccio"
"2015",88,"Music (Original Song)",NA,"Manta Ray from Racing Extinction","Music by J. Ralph; Lyric by Anohni"
"2015",88,"Music (Original Song)",NA,"Simple Song #3 from Youth","Music and Lyric by David Lang"
"2015",88,"Music (Original Song)",NA,"""Til It Happens To You"" from The Hunting Ground","Music and Lyric by Diane Warren and Lady Gaga"
"2015",88,"Music (Original Song)",1,"Writing's On The Wall from Spectre","Music and Lyric by Jimmy Napes and Sam Smith"
"2015",88,"Best Picture",NA,"The Big Short","Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers"
"2015",88,"Best Picture",NA,"Bridge of Spies","Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers"
"2015",88,"Best Picture",NA,"Brooklyn","Finola Dwyer and Amanda Posey, Producers"
"2015",88,"Best Picture",NA,"Mad Max: Fury Road","Doug Mitchell and George Miller, Producers"
"2015",88,"Best Picture",NA,"The Martian","Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers"
"2015",88,"Best Picture",NA,"The Revenant","Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers"
"2015",88,"Best Picture",NA,"Room","Ed Guiney, Producer"
"2015",88,"Best Picture",1,"Spotlight","Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers"
"2015",88,"Production Design",NA,"Bridge of Spies","Production Design: Adam Stockhausen; Set Decoration: Rena DeAngelo and Bernhard Henrich"
"2015",88,"Production Design",NA,"The Danish Girl","Production Design: Eve Stewart; Set Decoration: Michael Standish"
"2015",88,"Production Design",1,"Mad Max: Fury Road","Production Design: Colin Gibson; Set Decoration: Lisa Thompson"
"2015",88,"Production Design",NA,"The Martian","Production Design: Arthur Max; Set Decoration: Celia Bobak"
"2015",88,"Production Design",NA,"The Revenant","Production Design: Jack Fisk; Set Decoration: Hamish Purdy"
